biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop.Esc. Bartolomé Mitre,San Fernando,3446,Av.Sarmiento 831 ,Resistencia,Chaco,-27.444517,-58.979217
Bib.Pop.Esc. Juan Ramón Lestani,San Fernando,3450,Paraguay 4299 ,Barranqueras,Chaco,-27.485218,-58.938988
Bib.Pop.Pub. Evita,San Fernando,3453,Molina 615 ,Resistencia,Chaco,-27.454167,-59.000583
Asoc.Amigos.Bib.Pub.Pop. Gral. M. Belgrano,San Fernando,3384,Ildefonso Perez 331 ,Resistencia,Chaco,-27.47725,-58.953233
Bib.Pub. Pop. Josefa Lema de Urdapilleta,San Fernando,3418,La Cangaye 420 ,Resistencia,Chaco,-27.438317,-58.993617
Bib.Pub.Pop. Profesor N. Rojas Acosta,San Fernando,3343,Juan R. Lestani 522 ,Resistencia,Chaco,-27.447367,-58.9731
Bib. Pop. Esc. Lidia Guasti de Rodriguez,San Fernando,3345,Araza 1060 Villa Ercilia Oeste,Resistencia,Chaco,-27.454073,-59.005684
Asoc.Amig.Bib.Pop.Esc. Alfonsina Storni,San Fernando,3349,Av.Alberdi 2200 ,Resistencia,Chaco,-27.468859,-59.006149
Bib.Pop.Esc. Dr. J. A. Torres,San Fernando,3281,Av.Rivadavia 1700 ,Resistencia,Chaco,-27.434183,-58.996833
Bib.Pop. Hipólito Yrigoyen,San Fernando,3148,Monteagudo 155 ,Resistencia,Chaco,-27.454617,-58.979917
Bib. Pop. Juan B. Justo,San Fernando,3184,López y Planes 58 ,Resistencia,Chaco,-27.453033,-58.9833
Bib.Pub. Pop. Centenario de la creación del Chaco,San Fernando,3005,Hipólito Irigoyen 105 ,Puerto Vilelas,Chaco,-27.51125,-58.94095
Bib. Pop. Celmira Goncevat de Cabral,San Fernando,3009,Brown 1701 ,Resistencia,Chaco,-27.463317,-58.9692
Bib.Pop.Tec. Gral. Manuel Belgrano,San Fernando,2686,Av.Paraguay 410  ,Resistencia,Chaco,-27.4506,-58.978617
Asoc. Amigos.Bib.Pub.Pop. Prof. Leopoldo Herrera,San Fernando,2692,Julio A.Roca 158 ,Resistencia,Chaco,-27.450767,-58.98885
Bib.Pop. Esc. Prisciliano Pérez,San Fernando,2549,Padre Sena 245 ,Resistencia,Chaco,-27.444233,-58.99955
Bib.Pop. Esc. Remedios E. de San Martín,San Fernando,2608,Gerardo Varela 26 ,Resistencia,Chaco,-27.442369,-58.9804
Bib.Pop. Esc. Enrique Lynch Arribalzaga,San Fernando,2198,A.U.Illia 1990 Villa San Juan,Resistencia,Chaco,-27.468767,-58.97025
Bib.Pub. Pop. Bartolomé E. Pisarello,San Fernando,0992,Lapacho 382  ,Fontana,Chaco,-27.41638,-59.032291
Bib.Pop. Bernardino Rivadavia,San Fernando,0779,C. Pellegrini 80  ,Resistencia,Chaco,-27.452033,-58.98405
Bib. Esc. Pop.  Benjamín Zorrilla,San Fernando,0780,Sta.María de Oro 28 ,Resistencia,Chaco,-27.45065,-58.987617
Bib.Pub. Pop. Mariano Moreno,San Fernando,0783,Laprida 5600  ,Barranqueras,Chaco,-27.48604,-58.932758
Bib.Pop.Asoc.Amigos Escuela Nº 43,San Fernando,4313,Av.Las Piedras 5110 La Toma,Barranqueras,Chaco,-27.472333,-58.917483
Bib.Pub. Pop. Dr. José Ingenieros,San Lorenzo,2185,Moreno 59 ,Villa Berthet,Chaco,-27.289801,-60.413002
Bib.Pop.Pub. D.Capozzolo,Sgto Cabral,3549,Av.San Martín 478 ,Colonia Elisa,Chaco,-26.931932,-59.519407
Bib. Pop. Esc. Nº 223 Wolf Schcolnik,Sgto Cabral,3460,Planta Urbana  ,Capitán Solari,Chaco,-26.803267,-59.558633
Bib.Pub.Pop. Ricardo Güiraldes,Sgto Cabral,3000,Dr. Fleming S/N  ,Colonias Unidas,Chaco,-26.69952,-59.633789
Bib. Pop. Agustín Pujol,Biedma,3711,Anita Jones 44 ,Puerto Madryn,Chubut,-42.7549,-65.058433
Bib.Pop. El porvenir,Biedma,3510,Alberto Williams 235 ,Puerto Madryn,Chubut,-42.764733,-65.0516
Bib.Pop. Asunción Cobo,Biedma,3277,Avda. de las Ballenas 595  ,Puerto Piramides,Chubut,-42.57156,-64.27198
Asoc. Civil y BiB P Gral Martín Miguel de Güemes,Biedma,4180,Luis María Campos 776 ,Puerto Madryn,Chubut,-42.767583,-65.048583
Bib.Pop. General Manuel Belgrano,Biedma,4259,FRancisco L. Albarracín norte 3010 San Miguel,Puerto Madryn,Chubut,-42.76,-65.037917
BIb. Pop. D. Raúl Alfonsín,Biedma,4339,9 de julio 490 ,Puerto Madryn,Chubut,-42.769829,-65.038822
Bib.Pop. Gral. Don José Francisco de San Martín,Biedma,4326,Domecq García 306 Barrancas del Golfo,Puerto Madryn,Chubut,-42.76341,-65.04061
Bib. Pop. de Buenos Aires Chico-Niños Lectores,Cushamen,4161,Avda. Los Pioneros 684 ,El Maitén,Chubut,-42.052921,-71.174927
Bib.Pop. Rincón de Libros,Cushamen,4047,Lote 67  Paraje Rural Rincón de Lobos,El Hoyo,Chubut,-42.063317,-71.520083
Bib.Pop. Ruca Raqui Zuam,Cushamen,3959,Avda. 15 de diciembre s/n  ,Cholila,Chubut,-42.511866,-71.430016
Bib.Pop. El Maitén,Cushamen,3821,Guido 1014 ,El Maitén,Chubut,-42.051517,-71.163817
Bib.Pop. Angélica R. Nievas,Cushamen,3257,Los Picaflores s/n  Zona Urbana,Epuyén,Chubut,-42.234192,-71.350708
Bib.Pop. Lago Puelo,Cushamen,3037,Av.Los Notros s/n  ,Lago Puelo,Chubut,-42.0659,-71.602283
Bib. pop. Auca Lihuen de Villa El Blanco,Cushamen,4306,Centro Comunitario  Villa El Blanco,Cholila,Chubut,-42.5104,-71.428267
Bib.Pop. Elum Duham,Escalante,3899,Polonia 1782 San Cayetano,Comodoro Rivadavia,Chubut,-45.864834,-67.481476
Bib.Pop. Darío Hugo Fernández,Escalante,3800,San Martín 3355 San Martín,Comodoro Rivadavia,Chubut,-45.860367,-67.524667
Bib.Pub.Pop. de la Municip.de C.Rivadavia,Escalante,3569,Hipólito Yrigoyen 555 ,Comodoro Rivadavia,Chubut,-45.86495,-67.482317
Bib. Pop. Jorge Troncoso,Escalante,3506,Paraguay 650 Laprida,Comodoro Rivadavia,Chubut,-45.830367,-67.5401
Bib.Pop. Sofía Moll de Milton,Escalante,3316,Lamarque 585 Don Bosco Km.8,Comodoro Rivadavia,Chubut,-45.797133,-67.4246
Bib.Pop. Astra,Escalante,4331,Symeon Savino 1120 astra-KM. 2,Comodoro Rivadavia,Chubut,-45.733689,-67.491656
Bib. Pop. Perito Francisco Pascacio Moreno,Futaleufu,3773,Libertad 267 ,Trevelin,Chubut,-43.07922,-71.46431
Bib. Pop. Tolkeyén,Futaleufu,4249,Malvinas Argentinas 1850 Sargento Cabral,Esquel,Chubut,-42.914574,-71.302231
Bib.Pop. 28 de Julio,Gaiman,3638,Chacra 338 - Ruta Prov.10  ,28 de Julio,Chubut,-43.289631,-65.492188
Bib.Pop. Ricardo J. Berwyn,Gaiman,3041,J. C. Evans 154 ,Gaiman,Chubut,-43.293938,-65.498079
Bib.Pop. D.F.Sarmiento,Gaiman,2414,Av. Gral. Roca 188 ,Dolavon,Chubut,-43.307719,-65.709568
Bib. Pop. Soldado Caído S. Antieco,Rawson,4143,Juan Goicochea 395 49 Sur,Rawson,Chubut,-43.292816,-65.086548
Bib.Pop. Kim Hue,Rawson,3835,José Berreta 1706 Barrio Planta de Gas,Trelew,Chubut,-43.245041,-65.285233
Federación de Bibliotecas Populares de la Provinci,Rawson,FE 05,Fontana y San Martin  ,Trelew,Chubut,-43.236246,-65.301552
Bib.Pop. Benedicto Terrone,Rawson,3732,Alberdi 620 ,Trelew,Chubut,-43.25079,-65.297058
Bib.Pop. Manuel Porcel de Peralta,Rawson,3685,Uruguay 744 Barrio Sarmiento,Trelew,Chubut,-43.261442,-65.322412
Bib.Pop. Ceferino Namuncura,Rawson,3607,Ecuador 2386 Corradi,Trelew,Chubut,-43.251467,-65.319083
Bib.Pop. Barrio Progreso,Rawson,3632,Entre Ríos Norte 146 ,Trelew,Chubut,-43.255633,-65.32505
Bib.Pop. del Barrio Luis Vernet,Rawson,3378,Remedios de Escalada 937 Luis Vernet,Rawson,Chubut,-43.298133,-65.096567
Bib.Pop. José Hernández,Rawson,3355,Oscar Smith 845 29 Viviendas,Trelew,Chubut,-43.236366,-65.301941
Bib.Pop. Asencio Abeijon,Rawson,3235,Avda. Guillermo Rawson 1200 ,Playa Unión,Chubut,-43.317001,-65.044029
Bib.Pop. Gonzalo Delfino,Rawson,3244,Uruguay 146 Progreso,Trelew,Chubut,-43.254917,-65.324158
Bib.Pop. Rosa de Amaya,Rawson,3256,ScalabriniI Ortíz 1785 Echepare,Trelew,Chubut,-43.253487,-65.308113
Bib.Pop. Raúl Scalabrini Ortíz,Rawson,3202,Pje.J.M.Thomas 145 ,Trelew,Chubut,-43.262547,-65.290237
Bib.Pop. Francisco Guerra,Rawson,3080,Senda peatonal entre Sector G y E  Bo. Constitución,Trelew,Chubut,-43.24913,-65.307404
Bib.Pop. Agustín Alvarez,Rawson,1819,San Martín y Fontana 38 ,Trelew,Chubut,-43.252483,-65.305917
Bib.Pop. Gob. R. González,Rio Senguer,3414,Sin dirección  ,Aldea Beleiro,Chubut,-45.401634,-70.251312
Bib.Pop. Mariano Moreno,Sarmiento,2551,Uruguay y San Martín  ,Sarmiento,Chubut,-45.588383,-69.06945
Bib.Pop. José de San Martín,Tehuelches,3402,JUan Bellocq y Belgrano s/n  ,José de San Martín,Chubut,-44.050083,-70.467217
Bib. Pop. Juan M. de Pueyrredón,Tehuelches,2453,Av. J. A. Roca  y Aguado  ,Gobernador Costa,Chubut,-44.047240,-70.598119
Bib.Pop. Don Segundo Milla,Telsen,3667,Chacay Oeste  ,Chacay Oeste,Chubut,-42.436107,-66.943858
Bib.Pop. Narlu Owen,Telsen,3584,Av.Omar A.Montenegro s/n  ,Gan-Gan,Chubut,-42.521117,-68.2851
Asoc. Bib. Pub. Pop. Y Mun Asencio Abeijón,,4033,Antártida Argentina 333 ,Rada Tilly,Chubut,-45.931,-67.559667
Bib.Pop. Osvaldo Bayer,,4324,San Martín  ,Tecka,Chubut,-43.492433,-70.811883
Bib.Pop. Arroyo Baru,Colon,4239,Av.  Francisco  Barú s/n  ,Arroyo Barú,Entre Ríos,-31.868019,-58.446705
Bib.Pop. Ubajay,Colon,3482,Ceibal y Los Alisos  ,Ubajay,Entre Ríos,-31.7925,-58.3152
Bib.Pop. Fábrica Colón,Colon,1251,Centro Cívico  ,Pueblo Liebig,Entre Ríos,-32.151062,-58.190578
Bib.Pop. Gral. Mitre,Colon,0381,Av.Mitre 1160  ,Villa Elisa,Entre Ríos,-32.16495,-58.402933
Bib.Pop. Gral. Urquíza,Colon,0387,25 de Mayo 1833 ,San José,Entre Ríos,-32.209324,-58.218864
Bib.Pop. Fiat Lux,Colon,0306,12 de Abril 208 ,Colón,Entre Ríos,-32.2205,-58.137233
Bib. Pop. Casa 7,Colon,4409,Rufino Mir 465  San Francisco,colon,Entre Ríos,-32.236461455773046, -58.14508516075199
Bib.Pop. Tierra de Inmigrantes,Concordia,4189,Helena L. de Roffo 1021 ,Los Charrúas,Entre Ríos,-31.1698,-58.184883
Bib.Pop. D.F.Sarmiento,Concordia,3778,Laprida y Los Viñedos  ,Concordia,Entre Ríos,-31.35825,-58.0152
Bib.Pop. Carlos Reyes Miggoni,Concordia,3589,Ituzaingó 880 ,Concordia,Entre Ríos,-31.391467,-58.02575
Bib.Pop. Amelia Podesta de Gorostiaga,Concordia,0392,Bolivia 581 ,Concordia,Entre Ríos,-31.399367,-58.0084
Bib.Pop. Olegario V. Andrade,Concordia,0319,1º de Mayo 141 ,Concordia,Entre Ríos,-31.398083,-58.015933
Bib.Pop. Diamante,Diamante,0324,Eva Perón 628 ,Diamante,Entre Ríos,-32.068583,-60.63675
Bib.Pop. Luis Lorenzo Etchevehere,Diamante,0334,Avellaneda 26 EStación del Ferrocarril,General Ramirez,Entre Ríos,-32.173167,-60.197317
Bib. Pop. Estación Puiggari Asociación Civil,Diamante,4378,San Martin 415 Puiggari,Libertador San Martín,Entre Ríos,-32.054004,-60.446073
Bib.Pop. Urquíza,Federacion,0385,Av.Belgrano 1375  ,Chajarí,Entre Ríos,-30.7571,-57.981717
Bib.Pop. Rivadavia,Federacion,0338,Av. Entre Ríos 67 ,Federación,Entre Ríos,-30.98515,-57.920767
Bib. Pop.  José Zubiaur,Federacion,2596,Cupertino Otaño 633 ,Santa Ana,Entre Ríos,-30.899662,-57.931795
Bib. Pop. del Saber,Federacion,4355,Ex Estación del Ferrocarril  Céntrico,Los Conquistadores,Entre Ríos,-30.590940,-58.468041
